Date,Unnamed: 0,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total_Traded_Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,year,month,Day_Perc_Change,Trend,avg,upper,lower
2018-04-23,234,INFRATEL,EQ,331.1,332.0,332.6,324.5,326.95,328.0,327.5,2475687,810787492.5,44644,1531985,61.88,2018,4,-0.9362730292962972,Slight negative,336.332,343.252,329.413
2018-04-24,235,INFRATEL,EQ,328.0,327.0,334.6,315.65,331.4,329.0,325.75,4979271,1621997528.25,68237,2399240,48.18,2018,4,0.304878048780477,Slight or No change,335.764,343.696,327.833
2018-04-25,236,INFRATEL,EQ,329.0,338.0,338.95,322.3,323.5,325.45,327.08,4998560,1634929004.8,109702,2439348,48.8,2018,4,-1.0790273556231078,Negative,334.864,344.38,325.349
2018-04-26,237,INFRATEL,EQ,325.45,326.5,327.0,310.5,317.3,316.1,315.13,6209388,1956764440.44,131468,3757338,60.51,2018,4,-2.8729451528652583,Negative,333.3,346.913,319.687
2018-04-27,238,INFRATEL,EQ,316.1,316.15,324.65,313.35,322.6,320.25,319.44,4360743,1392995743.92,67375,3338375,76.56,2018,4,1.312875672255598,Positive,332.089,347.147,317.032
2018-04-30,239,INFRATEL,EQ,320.25,317.1,321.9,312.0,316.0,313.1,314.62,3440871,1082566834.02,49507,2518368,73.19,2018,4,-2.2326307572209103,Negative,330.493,348.471,312.514
2018-05-02,240,INFRATEL,EQ,313.1,314.95,318.4,312.35,313.85,313.8,315.11,5741657,1809253537.27,55110,4884253,85.07,2018,5,0.2235707441711865,Slight or No change,328.804,348.343,309.264
2018-05-03,241,INFRATEL,EQ,313.8,311.35,327.0,311.35,324.3,324.95,323.27,4395421,1420907746.6699998,64385,1937548,44.08,2018,5,3.5532186105799783,Among top gainers,327.679,346.046,309.311
2018-05-04,242,INFRATEL,EQ,324.95,321.7,325.0,318.65,323.0,322.45,321.94,2125043,684136343.42,54594,1468989,69.13,2018,5,-0.7693491306354772,Slight negative,326.446,343.615,309.278
2018-05-07,243,INFRATEL,EQ,322.45,321.1,324.45,319.3,323.2,320.65,320.21,2621067,839291864.0699999,34468,2276748,86.86,2018,5,-0.5582260815630402,Slight negative,325.061,340.549,309.573
2018-05-08,244,INFRATEL,EQ,320.65,323.0,324.5,319.6,321.0,321.0,320.74,7307907,2343938091.18,40319,6921955,94.72,2018,5,0.10915328239513578,Slight or No change,324.132,338.851,309.413
2018-05-09,245,INFRATEL,EQ,321.0,323.9,328.2,322.15,324.9,324.85,325.52,2739153,891649084.56,19375,1910980,69.77,2018,5,1.1993769470405091,Positive,323.332,336.384,310.28
2018-05-10,246,INFRATEL,EQ,324.85,324.9,328.3,317.2,319.3,320.7,321.53,2809718,903408628.54,37013,2183953,77.73,2018,5,-1.2775126981683926,Negative,322.243,333.123,311.362
2018-05-11,247,INFRATEL,EQ,320.7,320.7,322.85,315.45,318.2,319.85,317.97,2806644,892428592.6800002,14215,1954870,69.65,2018,5,-0.2650452135952497,Slight or No change,321.439,331.095,311.784
2018-05-14,248,INFRATEL,EQ,319.85,319.25,323.3,313.0,313.3,316.0,318.85,1310795,417946985.75000006,24289,864661,65.96,2018,5,-1.2036892293262549,Negative,320.582,329.851,311.313
2018-05-15,249,INFRATEL,EQ,316.0,315.0,315.65,311.1,312.9,312.45,313.18,3695713,1157423397.34,29298,2958039,80.04,2018,5,-1.123417721518993,Negative,319.4,328.257,310.543
2018-05-16,250,INFRATEL,EQ,312.45,312.2,323.8,308.2,314.3,315.2,314.75,2250017,708192850.75,19155,1291302,57.39,2018,5,0.8801408225316054,Slight Positive,318.668,327.053,310.283
2018-05-17,251,INFRATEL,EQ,315.2,317.7,324.75,312.9,320.0,321.75,321.05,3255853,1045291605.65,42029,2077685,63.81,2018,5,2.078045685279184,Positive,319.071,327.468,310.675
2018-05-18,252,INFRATEL,EQ,321.75,318.5,322.25,315.1,317.0,316.15,319.17,1949318,622163826.0600001,32325,1115292,57.21,2018,5,-1.7404817404817474,Negative,318.779,327.283,310.274
2018-05-21,253,INFRATEL,EQ,316.15,316.0,323.5,315.6,319.8,321.7,321.12,1523518,489232100.16,27715,792871,52.04,2018,5,1.755495808951446,Positive,319.393,327.355,311.43
2018-05-22,254,INFRATEL,EQ,321.7,319.5,320.7,313.05,316.05,315.85,315.85,2443082,771647449.7,63348,1643857,67.29,2018,5,-1.818464407833376,Negative,319.539,327.125,311.953
2018-05-23,255,INFRATEL,EQ,315.85,317.0,319.5,313.75,317.0,317.3,316.94,3690868,1169783703.92,43571,3200675,86.72,2018,5,0.4590786765869881,Slight or No change,318.993,325.978,312.007
2018-05-24,256,INFRATEL,EQ,317.3,318.8,319.55,313.65,317.0,318.35,316.44,4111643,1301088310.92,43285,3573757,86.92,2018,5,0.33091711314214844,Slight or No change,318.7,325.399,312.001
2018-05-25,257,INFRATEL,EQ,318.35,318.0,318.15,312.0,315.05,314.85,314.17,1105911,347444058.87,50694,581302,52.56,2018,5,-1.0994188785927397,Negative,318.286,325.18,311.392
2018-05-28,258,INFRATEL,EQ,314.85,315.85,317.95,309.2,311.9,310.7,312.98,1201629,376085844.42,44664,634741,52.82,2018,5,-1.3180879784024269,Negative,317.55,325.337,309.763
2018-05-29,259,INFRATEL,EQ,310.7,312.0,313.8,303.15,304.85,304.9,306.11,2631933,805661010.63,57743,1388978,52.77,2018,5,-1.8667524943675629,Negative,316.125,325.33,306.92
2018-05-30,260,INFRATEL,EQ,304.9,307.0,307.0,298.95,301.0,301.15,300.98,2554562,768872070.76,45650,1432348,56.07,2018,5,-1.2299114463758642,Negative,314.729,326.514,302.943
2018-05-31,261,INFRATEL,EQ,301.15,301.55,304.0,293.35,300.9,298.65,300.03,11366237,3410212087.11,107109,9199044,80.93,2018,5,-0.8301510874979212,Slight negative,313.214,327.374,299.055
2018-06-01,262,INFRATEL,EQ,298.65,300.2,303.9,298.75,300.8,300.65,300.32,1271174,381758975.68,34043,833074,65.54,2018,6,0.6696802276912717,Slight Positive,312.118,327.658,296.578
2018-06-04,263,INFRATEL,EQ,300.65,302.0,302.15,294.0,294.05,295.15,297.04,926733,275276770.32,43500,460663,49.71,2018,6,-1.8293696989855281,Negative,310.882,328.867,292.897
2018-06-05,264,INFRATEL,EQ,295.15,298.5,298.5,289.5,294.1,294.65,292.84,2364464,692409637.76,96385,1513365,64.0,2018,6,-0.1694053870913148,Slight or No change,309.414,329.151,289.678
2018-06-06,265,INFRATEL,EQ,294.65,295.0,297.2,292.75,294.15,294.6,294.54,1434703,422577421.62,38659,851305,59.34,2018,6,-0.016969285593060324,Slight or No change,307.475,327.325,287.625
2018-06-07,266,INFRATEL,EQ,294.6,294.2,295.5,292.6,293.9,293.8,293.85,2471537,726261147.45,61112,1905796,77.11,2018,6,-0.2715546503733957,Slight or No change,305.879,326.31,285.447
2018-06-08,267,INFRATEL,EQ,293.8,293.9,299.45,293.1,298.6,298.4,297.33,1360769,404597446.77,28019,695520,51.11,2018,6,1.5656909462218982,Positive,304.214,322.807,285.622
2018-06-11,268,INFRATEL,EQ,298.4,299.0,302.05,298.0,300.3,300.0,300.14,2123262,637275856.68,26956,1675144,78.89,2018,6,0.536193029490617,Slight Positive,303.082,320.517,285.647
2018-06-12,269,INFRATEL,EQ,300.0,302.0,302.0,298.6,300.05,299.75,300.11,946261,283982388.71000004,30911,674055,71.23,2018,6,-0.08333333333333526,Slight or No change,301.829,317.269,286.388
2018-06-13,270,INFRATEL,EQ,299.75,300.0,302.2,296.6,300.0,300.5,300.31,5147453,1545831610.43,27766,4670010,90.72,2018,6,0.2502085070892335,Slight or No change,300.554,312.718,288.389
2018-06-14,271,INFRATEL,EQ,300.5,298.0,299.85,294.9,296.0,296.5,296.61,1055622,313108041.42,36811,640697,60.69,2018,6,-1.331114808652245,Negative,299.243,308.339,290.147
2018-06-15,272,INFRATEL,EQ,296.5,296.5,297.7,291.6,293.5,293.6,293.16,3264270,956953393.2,64409,2440307,74.76,2018,6,-0.9780775716694668,Slight negative,298.021,304.783,291.26
2018-06-18,273,INFRATEL,EQ,293.6,292.0,294.0,288.9,291.15,291.3,290.68,1377676,400462859.68,26133,875455,63.55,2018,6,-0.7833787465940101,Slight negative,297.05,303.453,290.647
2018-06-19,274,INFRATEL,EQ,291.3,290.1,292.5,285.9,288.05,287.75,289.1,1300911,376093370.1,34648,840934,64.64,2018,6,-1.2186749055956068,Negative,296.093,303.741,288.445
2018-06-20,275,INFRATEL,EQ,287.75,288.2,290.9,284.1,284.9,285.3,287.17,1887084,541913912.28,44387,1362391,72.2,2018,6,-0.8514335360556013,Slight negative,295.139,304.542,285.737
2018-06-21,276,INFRATEL,EQ,285.3,286.9,286.9,274.55,278.95,279.6,278.43,5646050,1572029701.5,97495,3123563,55.32,2018,6,-1.9978969505783373,Negative,293.636,305.62,281.651
2018-06-22,277,INFRATEL,EQ,279.6,278.95,287.95,275.45,285.85,286.0,284.11,2317644,658465836.84,70269,836960,36.11,2018,6,2.2889842632331847,Positive,292.982,305.592,280.372
2018-06-25,278,INFRATEL,EQ,286.0,285.85,293.0,283.25,290.75,291.95,288.51,2416530,697193070.3,57434,1378426,57.04,2018,6,2.080419580419579,Positive,292.789,305.372,280.206
2018-06-26,279,INFRATEL,EQ,291.95,290.0,294.95,282.35,292.8,292.95,290.96,5285978,1538008158.88,54111,4021209,76.07,2018,6,0.3425244048638421,Slight or No change,292.671,305.212,280.131
2018-06-27,280,INFRATEL,EQ,292.95,291.95,302.75,287.2,300.0,299.55,298.93,4099169,1225364589.17,109442,2041078,49.79,2018,6,2.2529441884280743,Positive,293.082,306.148,280.017
2018-06-28,281,INFRATEL,EQ,299.55,299.0,300.0,293.9,298.85,297.95,296.86,4702328,1395933090.0800002,55470,3570447,75.93,2018,6,-0.5341345351360438,Slight negative,293.05,306.061,280.039
2018-06-29,282,INFRATEL,EQ,297.95,300.0,307.95,295.6,300.5,300.55,301.0,3871075,1165193575.0,49086,2957370,76.4,2018,6,0.8726296358449571,Slight Positive,293.089,306.194,279.985
2018-07-02,283,INFRATEL,EQ,300.55,301.0,304.8,294.8,300.0,298.9,299.21,2444336,731369774.56,18381,1551143,63.46,2018,7,-0.5489935118948686,Slight negative,293.029,306.008,280.05
2018-07-03,284,INFRATEL,EQ,298.9,296.0,297.8,286.6,291.5,291.5,291.02,2404666,699805899.3199999,53462,1416430,58.9,2018,7,-2.475744396119095,Negative,292.386,304.642,280.129
2018-07-04,285,INFRATEL,EQ,291.5,291.5,301.85,289.55,297.7,299.5,298.17,2171623,647512829.9100001,29492,685646,31.57,2018,7,2.7444253859348238,Positive,292.6,305.264,279.936
2018-07-05,286,INFRATEL,EQ,299.5,296.7,305.1,294.3,303.0,303.45,298.98,1418401,424073530.98,28730,447730,31.57,2018,7,1.3188647746243731,Positive,293.304,307.238,279.369
2018-07-06,287,INFRATEL,EQ,303.45,300.45,303.95,295.35,299.0,299.1,300.3,1382388,415131116.4,28129,778192,56.29,2018,7,-1.4335145823034967,Negative,293.861,308.071,279.65
2018-07-09,288,INFRATEL,EQ,299.1,299.1,303.0,299.1,301.85,301.85,301.57,613883,185128696.31,20744,379088,61.75,2018,7,0.9194249414911316,Slight Positive,294.868,309.211,280.525
2018-07-10,289,INFRATEL,EQ,301.85,301.95,307.1,299.85,305.4,305.3,304.29,878200,267227478.00000003,28598,431412,49.12,2018,7,1.14295179725028,Positive,296.296,310.518,282.075
2018-07-11,290,INFRATEL,EQ,305.3,305.3,319.2,304.0,315.0,317.15,315.95,4059566,1282619877.7,62860,1465762,36.11,2018,7,3.8814281035047364,Among top gainers,298.979,313.787,284.17
2018-07-12,291,INFRATEL,EQ,317.15,315.0,317.0,307.65,311.65,314.05,311.17,1586131,493556383.27,39548,441812,27.85,2018,7,-0.9774554627147936,Slight negative,300.982,315.816,286.148
2018-07-13,292,INFRATEL,EQ,314.05,314.0,314.0,300.35,302.25,302.7,304.77,1416753,431783811.81,24642,454387,32.07,2018,7,-3.614074192007655,Among top losers,301.75,315.654,287.846
2018-07-16,293,INFRATEL,EQ,302.7,302.7,305.7,298.3,301.2,301.15,300.37,1661955,499201423.35,19765,1135684,68.33,2018,7,-0.5120581433762816,Slight negative,302.336,315.302,289.369
2018-07-17,294,INFRATEL,EQ,301.15,299.0,307.25,297.1,302.6,303.35,303.79,836130,254007932.7,21381,469789,56.19,2018,7,0.7305329569981867,Slight Positive,302.607,315.481,289.733
2018-07-18,295,INFRATEL,EQ,303.35,303.2,305.6,298.75,300.1,299.25,300.36,1537581,461827829.16,28674,1052469,68.45,2018,7,-1.3515740893357608,Negative,302.7,315.447,289.953
2018-07-19,296,INFRATEL,EQ,299.25,287.0,292.4,283.4,285.6,285.3,285.84,2182923,623966710.3199999,40393,1158858,53.09,2018,7,-4.6616541353383445,Among top losers,301.611,317.394,285.827
2018-07-20,297,INFRATEL,EQ,285.3,285.0,288.2,285.0,286.05,286.0,286.25,4041062,1156753997.5,18427,3580601,88.61,2018,7,0.2453557658604888,Slight or No change,300.689,318.527,282.852
2018-07-23,298,INFRATEL,EQ,286.0,287.0,289.65,284.0,287.0,286.7,287.15,629540,180772411.0,10983,350133,55.62,2018,7,0.2447552447552459,Slight or No change,300.346,319.106,281.587
2018-07-24,299,INFRATEL,EQ,286.7,287.0,288.0,285.1,286.0,285.85,286.12,3997082,1143645101.84,21242,3419059,85.54,2018,7,-0.29647715381930784,Slight or No change,299.371,319.675,279.067
2018-07-25,300,INFRATEL,EQ,285.85,286.0,291.9,283.45,286.05,286.9,286.93,6454497,1851988824.21,39690,4764355,73.81,2018,7,0.3673255203778147,Slight or No change,298.189,319.378,277.0
2018-07-26,301,INFRATEL,EQ,286.9,286.0,288.65,278.05,286.0,286.85,284.35,5254405,1494090061.7500002,54007,3374566,64.22,2018,7,-0.017427675148118382,Slight or No change,297.314,319.337,275.292
2018-07-27,302,INFRATEL,EQ,286.85,287.3,290.8,284.1,289.05,289.45,287.4,1703895,489699423.0,28349,671860,39.43,2018,7,0.9063970716402192,Slight Positive,296.429,318.661,274.196
2018-07-30,303,INFRATEL,EQ,289.45,290.0,292.35,287.0,288.5,289.15,289.38,1203306,348212690.28,21784,586544,48.74,2018,7,-0.10364484366902628,Slight or No change,295.275,317.199,273.351
2018-07-31,304,INFRATEL,EQ,289.15,290.0,291.75,285.95,286.0,286.65,288.86,1744891,504029214.2600001,50271,920702,52.77,2018,7,-0.8646031471554516,Slight negative,293.096,311.423,274.77
2018-08-01,305,INFRATEL,EQ,286.65,287.0,297.45,285.75,293.1,293.25,292.68,1897046,555227423.28,67870,824566,43.47,2018,8,2.302459445316596,Positive,291.611,305.441,277.781
2018-08-02,306,INFRATEL,EQ,293.25,293.25,297.9,289.4,289.6,291.15,292.88,1228980,359943662.4,27186,582999,47.44,2018,8,-0.7161125319693151,Slight negative,290.786,303.056,278.515
2018-08-03,307,INFRATEL,EQ,291.15,289.9,292.6,288.75,290.0,290.1,290.34,1138162,330453955.08,35931,690192,60.64,2018,8,-0.3606388459556742,Slight or No change,289.996,300.719,279.274
2018-08-06,308,INFRATEL,EQ,290.1,291.45,291.85,285.75,286.9,287.05,289.17,684331,197887995.27,30245,386225,56.44,2018,8,-1.0513615994484748,Negative,288.832,296.378,281.286
2018-08-07,309,INFRATEL,EQ,287.05,286.4,289.5,285.0,285.95,285.9,286.93,1854883,532221579.19,24845,1292183,69.66,2018,8,-0.400627068454984,Slight or No change,287.879,292.598,283.159
2018-08-08,310,INFRATEL,EQ,285.9,286.0,292.5,284.15,292.5,290.45,285.92,5442103,1556006089.76,42083,4255639,78.2,2018,8,1.5914655473941997,Positive,288.246,292.902,283.591
2018-08-09,311,INFRATEL,EQ,290.45,291.2,296.85,289.3,292.05,293.25,294.42,1562399,460001513.58,15533,688252,44.05,2018,8,0.9640213461869608,Slight Positive,288.764,293.929,283.6
2018-08-10,312,INFRATEL,EQ,293.25,290.3,293.65,287.6,290.2,289.9,290.26,1271219,368984026.94,19504,601970,47.35,2018,8,-1.1423699914748564,Negative,288.993,294.046,283.94
2018-08-13,313,INFRATEL,EQ,289.9,287.2,287.55,283.45,285.05,285.25,285.32,1095747,312638534.04,16649,657117,59.97,2018,8,-1.604001379786124,Negative,288.95,294.127,283.773
2018-08-14,314,INFRATEL,EQ,285.25,285.3,285.75,280.2,283.6,283.9,283.59,2241692,635721434.28,48962,1522320,67.91,2018,8,-0.4732690622261226,Slight or No change,288.736,294.494,282.978
2018-08-16,315,INFRATEL,EQ,283.9,282.0,283.45,279.0,280.9,280.65,281.43,1705620,480012636.6,84568,1175265,68.91,2018,8,-1.1447692849594904,Negative,288.293,295.457,281.128
